Doi,Publishing Date,Title,Authors,URL for pdf,
"
10.48550/arXiv.2311.01282","Nov 3, 2023",FlashDecoding++: Faster Large Language Model Inference on GPUs,"Ke Hong, Guohao Dai, Jiaming Xu, Qiuli Mao, Xiuhong Li, Jun Liu, Kangdi Chen, Yuhan Dong, Yu Wang",https://arxiv.org/pdf/2311.01282,Inference
"
10.48550/arXiv.2311.18677
","Nov 30, 2023",Splitwise: Efficient generative LLM inference using phase splitting,"Pratyush Patel, Esha Choukse, Chaojie Zhang, Aashaka Shah, Íñigo Goiri, Saeed Maleki, Ricardo Bianchini",https://arxiv.org/pdf/2311.18677,Inference
"10.48550/arXiv.2312.07104
","Dec 12, 2023","SGLang: Efficient Execution of Structured Language Model Programs
","Lianmin Zheng, Liangsheng Yin, Zhiqiang Xie, Chuyue Sun, Jeff Huang, Cody Hao Yu, Shiyi Cao, Christos Kozyrakis, Ion Stoica, Joseph E. Gonzalez, Clark Barrett, Ying Sheng",https://arxiv.org/pdf/2312.07104,Inference
"
10.48550/arXiv.2403.19887","Mar 28, 2024",Jamba: A Hybrid Transformer-Mamba Language Model,"Opher Lieber, Barak Lenz, Hofit Bata, Gal Cohen, Jhonathan Osin, Itay Dalmedigos, Erez Safahi, Shaked Meirom, Yonatan Belinkov, Shai Shalev-Shwartz, Omri Abend, Raz Alon, Tomer Asida, Amir Bergman, Roman Glozman, Michael Gokhman, Avashalom Manevich, Nir Ratner, Noam Rozen, Erez Shwartz, Mor Zusman, Yoav Shoham",https://arxiv.org/pdf/2403.19887,Training
"
10.48550/arXiv.2312.00752
","Dec 1, 2023","Mamba: Linear-Time Sequence Modeling with Selective State Spaces
","Albert Gu, Tri Dao
",https://arxiv.org/pdf/2312.00752,Training
"
10.48550/arXiv.2404.02015
","Apr 2, 2024",MuxServe: Flexible Spatial-Temporal Multiplexing for Multiple LLM Serving,"Jiangfei Duan, Runyu Lu, Haojie Duanmu, Xiuhong Li, Xingcheng Zhang, Dahua Lin, Ion Stoica, Hao Zhang",https://arxiv.org/pdf/2404.02015,Inference
"10.48550/arXiv.2311.03285
","Nov 6, 2023",S-LoRA: Serving Thousands of Concurrent LoRA Adapters,"Ying Sheng, Shiyi Cao, Dacheng Li, Coleman Hooper, Nicholas Lee, Shuo Yang, Christopher Chou, Banghua Zhu, Lianmin Zheng, Kurt Keutzer, Joseph E. Gonzalez, Ion Stoica",https://arxiv.org/pdf/2311.03285,Inference
"10.48550/arXiv.2402.02057
","Feb 3, 2024","Break the Sequential Dependency of LLM Inference Using Lookahead Decoding
","Yichao Fu, Peter Bailis, Ion Stoica, Hao Zhang",https://arxiv.org/abs/2402.02057,Inference
"
10.48550/arXiv.2401.10774","Jan 19, 2024",Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads,"Tianle Cai, Yuhong Li, Zhengyang Geng, Hongwu Peng, Jason D. Lee, Deming Chen, Tri Dao",https://arxiv.org/pdf/2401.10774,Inference
"10.48550/arXiv.2211.17192
","Nov 30, 2022",Fast Inference from Transformers via Speculative Decoding,"Yaniv Leviathan, Matan Kalman, Yossi Matias",https://arxiv.org/pdf/2211.17192,Inference
10.48550/arXiv.2405.19888,"May 30, 2024",Parrot: Efficient Serving of LLM-based Applications with Semantic Variable,"Chaofan Lin, Zhenhua Han, Chengruidong Zhang, Yuqing Yang, Fan Yang, Chen Chen, Lili Qiu",https://arxiv.org/pdf/2405.19888,Inference
"
10.18653/v1/2024.acl-long.681","Apr 25, 2024",LayerSkip: Enabling Early Exit Inference and Self-Speculative Decoding,"Mostafa Elhoushi, Akshat Shrivastava, Diana Liskovich, Basil Hosmer, Bram Wasti, Liangzhen Lai, Anas Mahmoud, Bilge Acun, Saurabh Agarwal, Ahmed Roman, Ahmed A Aly, Beidi Chen, Carole-Jean Wu",https://arxiv.org/pdf/2404.16710,Inference
"
10.48550/arXiv.2402.01869","Feb 2, 2024",InferCept: Efficient Intercept Support for Augmented Large Language Model Inference,"Reyna Abhyankar, Zijian He, Vikranth Srivatsa, Hao Zhang, Yiying Zhang",https://arxiv.org/pdf/2402.01869,Inference
"10.48550/arXiv.2401.00588
","Dec 31, 2023",Fairness in Serving Large Language Models,"Ying Sheng, Shiyi Cao, Dacheng Li, Banghua Zhu, Zhuohan Li, Danyang Zhuo, Joseph E. Gonzalez, Ion Stoica",https://arxiv.org/pdf/2401.00588,Inference
"10.48550/arXiv.2401.09670
","Jan 18, 2024",DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving,"Yinmin Zhong, Shengyu Liu, Junda Chen, Jianbo Hu, Yibo Zhu, Xuanzhe Liu, Xin Jin, Hao Zhang
",https://arxiv.org/pdf/2401.09670,Inference
"10.48550/arXiv.2012.12877
","Jan 15, 2021","Training data-efficient image transformers & distillation through attention","Hugo Touvron, Matthieu Cord, Matthijs Douze, Francisco Massa, Alexandre Sablayrolles, Hervé Jégou",https://arxiv.org/pdf/2012.12877,Training
"10.48550/arXiv.2004.05150
","Dec 2, 2020","Longformer: The Long-Document Transformer​","Iz Beltagy, Matthew E. Peters, Arman Cohan",https://arxiv.org/pdf/2004.05150,Training
10.48550/arXiv.2006.04768,"Jun 14, 2020",Linformer: Self-Attention with Linear Complexity,"Sinong Wang, Belinda Z. Li, Madian Khabsa, Han Fang, Hao Ma",https://arxiv.org/pdf/2006.04768,Training
"10.48550/arXiv.1910.10683
","Sep 19, 2023","Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer
","Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",https://arxiv.org/pdf/1910.10683,Training
"10.48550/arXiv.2303.06296
","Jul 25, 2023",Stabilizing Transformer Training by Preventing Attention Entropy Collapse,"Shuangfei Zhai, Tatiana Likhomanenko, Etai Littwin, Dan Busbridge, Jason Ramapuram, Yizhe Zhang, Jiatao Gu, Josh Susskind",https://arxiv.org/pdf/2303.06296,Training
10.48550/arXiv.2404.0799,"Apr 7, 2024",A Multi-Level Framework for Accelerating Training Transformer Models​,"Longwei Zou, Han Zhang, Yangdong Deng",https://arxiv.org/pdf/2404.07999,Training
"10.48550/arXiv.2303.05295
","Mar 9, 2023",Dynamic Stashing Quantization for Efficient Transformer Training,"Guo Yang, Daniel Lo, Robert Mullins, Yiren Zhao",https://arxiv.org/pdf/2303.05295,Training
"10.48550/arXiv.2503.04598
","Mar 6, 2025",HybridNorm: Towards Stable and Efficient Transformer Training via Hybrid Normalization,"Zhijian Zhuo, Yutao Zeng, Ya Wang, Sijun Zhang, Jian Yang, Xiaoqing Li, Xun Zhou, Jinwen Ma",https://arxiv.org/pdf/2503.04598,Training
10.48550/arXiv.2307.03170,"Jul 6, 2023",Focused Transformer: Contrastive Training for Context Scaling,"Szymon Tworkowski, Konrad Staniszewski, Mikołaj Pacek, Yuhuai Wu, Henryk Michalewski, Piotr Miłoś",https://arxiv.org/pdf/2307.03170,Training
"10.48550/arXiv.2205.10505
","May 21, 2022",A Study on Transformer Configuration and Training Objective,"Fuzhao Xue, Jianghai Chen, Aixin Sun, Xiaozhe Ren, Zangwei Zheng, Xiaoxin He, Yongming Chen, Xin Jiang, Yang You",https://arxiv.org/pdf/2205.10505,Training
