Node ID,Cluster,validation_methods,advantages,updated_at,description,name,usage_in_paper,created_at,original_source,limitations,type,key_innovations
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:17,0,['Results on RACE dataset'],"['Implements layer normalization to achieve increased performance', 'Combines BERT and GPT-2 architectures']",2025-03-12T07:54:17.561000000+00:00,A pre-trained language model,BERT,Referenced as a benchmark model,2025-02-24T01:58:41.630000000+00:00,"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding (Devlin et al., 2018)",[],Model,"['Large transformer model with billions of parameters', 'Achieves SOTA results on RACE dataset']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:0,0,"['Experiments on two machine translation tasks (WMT 2014 English-to-German and WMT 2014 English-to-French)', 'Improvement in BLEU score']","['Superior quality in sequence transduction tasks', 'More parallelizable and requiring significantly less time to train']",2025-03-12T08:04:07.808000000+00:00,A widely used architecture for language models.,Transformer,Referenced as a baseline architecture.,2025-02-23T06:51:17.743000000+00:00,Attention Is All You Need (Vaswani et al.),[],architecture,"['Replacing recurrence and convolutions with attention mechanisms', 'Introducing self-attention and multi-head attention']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:1,0,"['Experiments on machine translation tasks', 'Improvement in BLEU score']","['Improved performance on sequence transduction tasks', 'More parallelizable']",2025-02-26T18:51:48.632000000+00:00,Attention mechanism for relating different positions in a sequence,Self-attention,Implemented in both BERT and Transformer architectures,2025-02-23T06:51:17.743000000+00:00,Attention Is All You Need (Vaswani et al.),[],mechanism,"['Scaling dot-product attention', 'Multi-head attention']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:110,6,"['Empirical results on 20 tasks', 'Comparison with BERT']",['Outperforms BERT on 20 tasks'],,Generalized autoregressive pretraining method,XLNet,,2025-03-12T07:47:42.685000000+00:00,,[],pretraining_method,"['Bidirectional context learning', 'Autoregressive formulation']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:18,0,,,2025-02-25T05:02:24.876000000+00:00,A type of neural network architecture used for natural language processing tasks,Transformer Architecture,Used as the base architecture for the BERT model,2025-02-24T01:58:41.715000000+00:00,Vaswani et al. (2017),,neural_network_architecture,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:19,0,,,2025-02-25T05:02:24.876000000+00:00,An attention mechanism where each token can attend to every other token,Self-Attention Mechanism,Used in the original Transformer Architecture,2025-02-24T01:58:41.715000000+00:00,Vaswani et al. (2017),,attention_mechanism,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:35,0,,,,Uses task-specific architectures and pre-trained representations as features,ELMo,Compared to BERT's pre-training strategy in the paper,2025-02-26T18:51:48.632000000+00:00," Peters et al., 2018a)",,language representation model,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:36,0,,,,Uses minimal task-specific parameters and ne-tuning all pre-trained parameters for downsteam tasks,GPT,Compared to BERT's pre-training strategy in the paper,2025-02-26T18:51:48.632000000+00:00,"Radford et al., 2018)",,ne-tuning approach,
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:44,0,"['experiments with large sparse models', 'comparison with dense models']","['increased pre-training speed', 'lower computational costs', 'reduced memory usage']",,a novel attention mechanism that extends the original Transformer architecture,Switch Transformer,,2025-02-26T18:59:36.296000000+00:00,,"['training instability', 'communication costs', 'complexity']",attention mechanism,"['simplified sparse routing algorithm', 'reduced communication and computational costs']"
4:2fcebb07-52d8-475e-9f6c-ef6fb2ecbead:102,0,['Experimental results on training iterations with 1 trillion parameters'],"['Improved throughput (10%+)', 'Comparable memory footprint to existing approaches']",2025-03-12T07:51:21.571000000+00:00,Large-scale language model for efficient training on GPU clusters,Megatron-LM,,2025-03-12T07:47:12.559000000+00:00,,['Up to 10% overhead due to pipelining schedule'],model architecture,"['Interleaved pipelining schedule', 'Tensor and pipeline parallelism', 'Data parallelism']"
